AirportCode	CityName	WorldAreaCode
ICN	"INCHEON  "	333
AAC	"AL ARISH  "	591
DSS	"DIASS "	999
AAE	"ANNABA  "	500
AAF	"APALACHICOLA    "	33
AAH	"AACHEN                      "	429
AAI	"ARRAIAS                      "	316
AAJ	"AWARADAM           "	379
AAK	"ARANUKA            "	824
AAL	"AALBORG                     "	419
AAM	"MALA MALA              "	562
AAN	"AL AIN         "	678
AAO	"ANACO                    "	388
AAQ	"ANAPA                        "	475
AAR	"AARHUS                      "	419
AAS	"APALAPSILI               "	832
AAT	"ALTAY                        "	713
AAU	"ASAU                     "	892
AAV	"ALAH                    "	766
AAW	"ABBOTTABAD                 "	764
AAX	"ARAXA                        "	316
AAY	"AL GHAYDAH                    "	694
ABA	"ABAKAN                       "	770
ABD	"ABADAN                         "	632
ABE	"ALLENTOWN           "	23
ABF	"ABAIANG            "	824
ABG	"ABINGDON            "	802
ABH	"ALPHA               "	802
ABI	"ABILENE                    "	74
ABJ	"ABIDJAN                "	533
ABK	"KABRI DAR                  "	522
ABL	"AMBLER                    "	1
ABM	"BAMAGA              "	802
ABN	"ALBINA SURINAM                    "	379
ABO	"ABOISSO               "	533
ABP	"ATKAMBA          "	804
ABQ	"ALBUQUERQUE           "	86
ABR	"ABERDEEN            "	67
ABS	"ABU SIMBEL       "	591
ABT	"AL-BAHA               "	670
ABU	"ATAMBUA                  "	832
ABV	"ABUJA                       "	555
ABW	"ABAU             "	804
ABX	"ALBURY             "	802
ABY	"ALBANY                   "	34
ABZ	"ABERDEEN SCOTLAND (U.K.)         "	493
ACA	"ACAPULCO MEXICO                   "	148
ACB	"BELLAIRE               "	43
ACC	"ACCRA GHANA                       "	529
ACD	"ACANDI                    "	327
ACE	"ARRECIFE CANARY IS.               "	482
ACH	"ALTENRHEIN              "	486
ACI	"ALDERNEY CHANNEL IS. (U.K.)      "	493
ACK	"NANTUCKET        "	13
ACL	"AGUA CLARA                "	327
ACM	"ARICA                     "	327
ACN	"CIUDAD ACUNA MEXICO               "	148
ACO	"ASCONA                  "	486
ACR	"ARARACUARA                "	327
ACS	"ACHINSK                      "	770
ACT	"WACO                       "	74
ACU	"ACHUTUPO PANAMA REP.              "	162
ACV	"EUREKA/ARCATA         "	91
ACY	"ATLANTIC CITY         "	21
ADA	"ADANA                        "	679
ADB	"IZMIR-ADNAN MEND             "	679
ADD	"ADDIS ABABA                "	522
ADE	"ADEN                          "	694
ADG	"ADRIAN                 "	43
ADH	"ALDAN                        "	770
ADI	"ARANDIS S.W. AFRICA               "	575
ADJ	"AMMAN-CIVIL JORDAN                "	639
ADK	"ADAK ISLAND               "	1
ADL	"ADELAIDE S.               "	802
ADM	"ARDMORE OKLAHOMA               "	73
ADN	"ANDES                     "	327
ADO	"ANDAMOOKA S.              "	802
ADP	"ANURADHAPURA              "	711
ADQ	"KODIAK                    "	1
ADR	"ANDREWS SOUTH CAROLINA         "	37
ADS	"DALLAS/FT. WORTH           "	74
ADT	"ADA OKLAHOMA                   "	73
ADU	"ARDABIL        "	632
ADV	"ANDOVER                 "	493
ADW	"ANDREWS AFB MARYLAND           "	35
ADX	"ST. ANDREWS K           "	493
ADY	"ALLDAYS                "	562
ADZ	"SAN ANDRES IS.            "	327
AEA	"ABEMAMA     "	824
AEG	"AEK GODANG               "	832
AEH	"ABECHER CHAD                      "	511
AEK	"ASEKI            "	804
AEL	"ALBERT LEA MINNESOTA           "	63
AEO	"AIOUN EL ATROUSS        "	545
AEP	"BUENOS AIRES              "	303
AER	"ADLER/SOCHI                  "	475
AES	"AALESUND                     "	465
AET	"ALLAKAKET                 "	1
AEX	"ALEXANDRIA LOUISIANA           "	72
AEY	"AKUREYRI                   "	439
AFA	"SAN RAFAEL                "	303
AFD	"PORT ALFRED            "	562
AFI	"AMALFI                    "	327
AFL	"ALTA FLORESTA                "	316
AFN	"JAFFREY           "	14
AFO	"AFTON                    "	88
AFR	"AFORE            "	804
AFT	"AFUTARA SOLOMON ISLANDS           "	874
AFW	"DALLAS/FT. WORTH           "	74
AFY	"AFYON                        "	679
AGA	"AGADIR                     "	548
AGB	"AUGSBURG                    "	429
AGC	"PITTSBURGH          "	23
AGD	"ANGGI                    "	832
AGE	"WANGEROOGE                  "	429
AGF	"AGEN                          "	427
AGG	"ANGORAM          "	804
AGH	"ANGELHOLM/HELSINGBORG       "	484
AGI	"WAGENINGEN    "	379
AGJ	"AGUNI                         "	736
AGK	"KAGUA            "	804
AGL	"WANIGELA         "	804
AGM	"ANGMAGSSALIK GREENLAND            "	975
AGN	"ANGOON                    "	1
AGO	"MAGNOLIA AR               "	71
AGP	"MALAGA                       "	482
AGQ	"AGRINION                     "	433
AGR	"AGRA                         "	733
AGS	"AUGUSTA                  "	34
AGT	"CIUDAD PRES. STROESSNER    "	365
AGU	"AGUASCALIENTES             "	148
AGV	"ACARIGUA                 "	388
AGW	"AGNEW               "	802
AGX	"AGATTI ISLAND                "	733
AGY	"ARGYLE DOWNS W.           "	802
AGZ	"AGGENEYS               "	562
AHA	"OKINAWA            "	736
AHB	"ABHA                  "	670
AHD	"ARDMORE                "	73
AHF	"ARAPAHOE                "	65
AHH	"AMERY                "	45
AHI	"AMAHAI                   "	832
AHL	"AISHALTON GUYANA                  "	350
AHN	"ATHENS                   "	34
AHO	"ALGHERO                       "	450
